timestamp,treble_chorale,bruin_singers,bel_canto
2026-05-07T04:30:25Z,18849,7946,19493
2026-05-07T04:30:56Z,18849,7946,19501
2026-05-07T04:31:26Z,18849,7946,19504
2026-05-07T04:31:56Z,18849,7946,19517
2026-05-07T04:32:27Z,18849,7946,19524
2026-05-07T04:32:57Z,18849,7946,19525
2026-05-07T04:33:27Z,18849,7946,19525
2026-05-07T04:33:57Z,18850,7946,19525
2026-05-07T04:34:28Z,18850,7946,19538
2026-05-07T04:34:58Z,18850,7946,19545
2026-05-07T04:35:28Z,18850,7946,19550
2026-05-07T04:35:59Z,18850,7946,19553
2026-05-07T04:36:29Z,18850,7946,19563
2026-05-07T04:36:59Z,18850,7946,19573
2026-05-07T04:37:30Z,18850,7946,19575
2026-05-07T04:38:00Z,18850,7946,19581
2026-05-07T04:38:30Z,18850,7946,19588
2026-05-07T04:39:00Z,18850,7946,19596
2026-05-07T04:39:31Z,18850,7946,19600
2026-05-07T04:40:01Z,18850,7946,19600
2026-05-07T04:40:31Z,18850,7946,19604
2026-05-07T04:41:02Z,18850,7946,19611
2026-05-07T04:41:32Z,18850,7946,19617
2026-05-07T04:42:02Z,18850,7946,19623
2026-05-07T04:42:32Z,18850,7946,19634
2026-05-07T04:43:03Z,18850,7946,19646
2026-05-07T04:43:33Z,18850,7946,19656
2026-05-07T04:44:03Z,18850,7946,19662
2026-05-07T04:44:34Z,18850,7946,19670
2026-05-07T04:45:04Z,18850,7946,19680
2026-05-07T04:45:34Z,18850,7946,19690
2026-05-07T04:46:04Z,18850,7946,19697
2026-05-07T04:46:35Z,18850,7946,19706
2026-05-07T04:47:05Z,18850,7946,19717
2026-05-07T04:47:35Z,18850,7946,19719
2026-05-07T04:48:06Z,18850,7946,19719
2026-05-07T04:48:36Z,18850,7946,19719
2026-05-07T04:49:06Z,18850,7946,19727
2026-05-07T04:49:37Z,18850,7946,19739
2026-05-07T04:50:07Z,18850,7946,19743
2026-05-07T04:50:37Z,18850,7946,19747
2026-05-07T04:51:07Z,18850,7946,19756
2026-05-07T04:51:38Z,18850,7946,19770
2026-05-07T04:52:08Z,18850,7946,19780
2026-05-07T04:52:38Z,18850,7946,19790
2026-05-07T04:53:09Z,18850,7946,19800
2026-05-07T04:53:39Z,18850,7946,19808
2026-05-07T04:54:09Z,18850,7946,19822
2026-05-07T04:54:40Z,18850,7946,19835
2026-05-07T04:55:10Z,18850,7946,19848
2026-05-07T04:55:40Z,18850,7946,19854
2026-05-07T04:56:10Z,18850,7946,19863
2026-05-07T04:56:41Z,18850,7946,19874
2026-05-07T04:57:11Z,18850,7946,19882
2026-05-07T04:57:41Z,18850,7946,19882
2026-05-07T04:58:12Z,18850,7946,19885
2026-05-07T04:58:42Z,18850,7946,19898
2026-05-07T04:59:12Z,18850,7946,19906
2026-05-07T04:59:42Z,18850,7946,19906
2026-05-07T05:00:13Z,18850,7946,19910
2026-05-07T05:00:43Z,18850,7946,19919
2026-05-07T05:01:13Z,18850,7946,19930
2026-05-07T05:01:44Z,18850,7946,19939
2026-05-07T05:02:14Z,18850,7946,19944
2026-05-07T05:02:44Z,18850,7946,19957
2026-05-07T05:03:15Z,18851,7946,19969
2026-05-07T05:03:45Z,18851,7946,19978
2026-05-07T05:04:15Z,18851,7946,19987
2026-05-07T05:04:45Z,18851,7946,19998
2026-05-07T05:05:16Z,18851,7946,20007
2026-05-07T05:05:46Z,18851,7946,20007
2026-05-07T05:06:16Z,18851,7946,20015
2026-05-07T05:06:47Z,18851,7946,20028
2026-05-07T05:07:17Z,18851,7946,20037
2026-05-07T05:07:47Z,18851,7946,20040
2026-05-07T05:08:17Z,18852,7946,20043
2026-05-07T05:08:48Z,18852,7946,20047
2026-05-07T05:09:18Z,18852,7946,20053
2026-05-07T05:09:48Z,18852,7946,20063
2026-05-07T05:10:19Z,18852,7946,20071
2026-05-07T05:10:49Z,18852,7946,20081
2026-05-07T05:11:19Z,18852,7946,20094
2026-05-07T05:11:50Z,18852,7946,20105
2026-05-07T05:12:20Z,18852,7946,20115
2026-05-07T05:12:50Z,18852,7946,20121
2026-05-07T05:13:20Z,18852,7946,20133
2026-05-07T05:13:51Z,18852,7946,20143
2026-05-07T05:14:21Z,18852,7946,20151
2026-05-07T05:14:51Z,18852,7946,20154
2026-05-07T05:15:22Z,18867,7946,20160
2026-05-07T05:15:52Z,18889,7946,20167
2026-05-07T05:16:22Z,18908,7946,20174
2026-05-07T05:16:53Z,18916,7946,20180
2026-05-07T05:17:23Z,18935,7946,20189
2026-05-07T05:17:53Z,18953,7946,20200
2026-05-07T05:18:23Z,18968,7946,20211
2026-05-07T05:18:54Z,18987,7946,20219
2026-05-07T05:19:24Z,19009,7946,20226
2026-05-07T05:19:54Z,19020,7946,20232
2026-05-07T05:20:25Z,19033,7946,20243
2026-05-07T05:20:55Z,19048,7946,20255
2026-05-07T05:21:25Z,19070,7946,20265
2026-05-07T05:21:56Z,19074,7946,20271
2026-05-07T05:22:26Z,19086,7946,20280
2026-05-07T05:22:56Z,19096,7946,20290
2026-05-07T05:23:26Z,19114,7946,20303
2026-05-07T05:23:57Z,19131,7946,20312
2026-05-07T05:24:27Z,19145,7946,20324
2026-05-07T05:24:57Z,19155,7946,20329
2026-05-07T05:25:28Z,19174,7946,20335
2026-05-07T05:25:58Z,19187,7946,20345
2026-05-07T05:26:28Z,19199,7946,20353
2026-05-07T05:26:59Z,19199,7946,20361
2026-05-07T05:27:29Z,19211,7946,20366
2026-05-07T05:27:59Z,19212,7946,20371
2026-05-07T05:28:29Z,19226,7946,20376
2026-05-07T05:29:00Z,19243,7946,20382
2026-05-07T05:29:30Z,19254,7946,20389
2026-05-07T05:30:00Z,19269,7946,20395
2026-05-07T05:30:31Z,19284,7946,20402
2026-05-07T05:31:01Z,19306,7946,20414
2026-05-07T05:31:31Z,19328,7946,20422
2026-05-07T05:32:01Z,19329,7946,20427
2026-05-07T05:32:32Z,19341,7946,20439
2026-05-07T05:33:02Z,19353,7946,20449
2026-05-07T05:33:32Z,19383,7946,20461
2026-05-07T05:34:03Z,19397,7946,20473
